umap_x,umap_y,label,variant_id
25.185759,20.07556,benign,clinvar_55634
24.754496,21.763031,benign,clinvar_183951
24.590433,20.160757,pathogenic,clinvar_55631
25.287556,19.993631,benign,clinvar_55615
24.574099,21.536495,pathogenic,clinvar_91656
25.53939,21.187073,pathogenic,clinvar_55611
24.406206,20.412102,pathogenic,clinvar_37679
23.85065,20.730074,pathogenic,clinvar_55607
25.616644,20.874968,pathogenic,clinvar_55573
24.53163,20.22099,benign,clinvar_55568
24.510777,21.459806,pathogenic,clinvar_55552
24.559147,21.084055,pathogenic,clinvar_37660
24.719515,21.213055,pathogenic,clinvar_91649
25.067198,21.112616,pathogenic,clinvar_96949
24.46296,20.517174,pathogenic,clinvar_55530
25.307142,19.791622,pathogenic,clinvar_17694
24.213675,18.725998,pathogenic,clinvar_17695
22.747633,20.24334,pathogenic,clinvar_37656
26.000238,21.8781,pathogenic,clinvar_55510
22.862484,21.349384,pathogenic,clinvar_55505
23.193497,21.722733,benign,clinvar_55481
26.059433,20.093271,pathogenic,clinvar_55482
26.298334,21.937431,pathogenic,clinvar_37650
22.596085,20.36443,pathogenic,clinvar_55461
25.94961,21.363806,pathogenic,clinvar_37648
25.913275,19.40042,benign,clinvar_55453
25.753796,21.1884,benign,clinvar_55438
24.586351,19.13075,pathogenic,clinvar_55416
25.781319,21.550917,pathogenic,clinvar_55414
23.619375,20.555252,pathogenic,clinvar_55415
22.833197,20.209936,pathogenic,clinvar_55412
25.450415,21.021387,pathogenic,clinvar_55407
26.349653,20.23837,pathogenic,clinvar_37638
25.57223,21.16505,benign,clinvar_55406
23.074898,19.60023,pathogenic,clinvar_55399
23.530773,20.042309,pathogenic,clinvar_37636
26.4092,20.649668,pathogenic,clinvar_55396
25.53357,21.064924,pathogenic,clinvar_37635
23.847137,22.855808,pathogenic,clinvar_55392
25.860607,19.65145,pathogenic,clinvar_55383
25.155296,21.625877,pathogenic,clinvar_37633
25.715208,20.547068,pathogenic,clinvar_55365
25.169937,20.905783,pathogenic,clinvar_55364
25.604408,21.975473,benign,clinvar_55361
25.907608,20.28401,benign,clinvar_37621
26.522673,19.707836,benign,clinvar_55339
24.84149,20.131472,benign,clinvar_41830
25.348743,20.256308,benign,clinvar_37615
26.535494,19.769903,benign,clinvar_55314
25.142189,20.364334,benign,clinvar_41828
25.525808,20.596169,benign,clinvar_55301
25.199911,19.963305,benign,clinvar_41827
23.393208,21.712288,benign,clinvar_37612
22.95681,20.484858,benign,clinvar_55262
24.081205,19.369717,pathogenic,clinvar_37604
25.941868,19.783306,benign,clinvar_55245
23.24377,21.334417,benign,clinvar_55246
24.957983,20.73519,benign,clinvar_55235
24.70137,20.237906,benign,clinvar_41826
26.742546,21.396362,benign,clinvar_41825
24.434542,21.028296,benign,clinvar_55193
25.400824,20.20998,benign,clinvar_17676
25.290224,19.417406,benign,clinvar_55154
24.211334,19.672886,benign,clinvar_55140
23.359741,19.891748,benign,clinvar_55111
24.954842,20.45233,benign,clinvar_55099
25.468315,19.945286,benign,clinvar_55085
24.943148,19.077215,benign,clinvar_41821
24.464537,19.76461,benign,clinvar_37549
23.27999,21.082193,benign,clinvar_55009
24.113474,20.082218,benign,clinvar_54987
24.706999,20.445004,benign,clinvar_54985
24.044367,20.506247,benign,clinvar_54982
24.895472,19.488068,benign,clinvar_37543
24.889967,20.496553,benign,clinvar_54970
22.893639,21.211882,benign,clinvar_37537
23.99693,20.801264,benign,clinvar_54948
25.107357,20.686049,benign,clinvar_54935
23.491203,21.039192,benign,clinvar_54931
24.775429,21.128883,benign,clinvar_41818
23.869478,20.470806,benign,clinvar_54911
23.80505,20.208143,benign,clinvar_54891
23.384647,20.563072,benign,clinvar_54887
24.012869,22.036522,benign,clinvar_41817
23.759962,21.20025,benign,clinvar_54873
23.700193,21.95892,benign,clinvar_37522
25.249075,22.332613,benign,clinvar_54830
23.981476,20.745811,benign,clinvar_41816
23.672045,21.41557,benign,clinvar_54777
23.916357,21.863102,benign,clinvar_37510
23.821514,20.369886,benign,clinvar_17670
23.920828,22.44463,benign,clinvar_41815
25.209557,21.812752,benign,clinvar_37507
23.861311,21.360245,benign,clinvar_37506
20.640757,18.1282,benign,clinvar_41814
